node,time_s,k,bracket_s
121,14.800286635700362,1.595675291112974,"[14.789999999999983, 14.809999999999983]"
122,14.80028659492926,1.595655862556184,"[14.789999999999983, 14.809999999999983]"
123,14.800286554724574,1.5956366290064348,"[14.789999999999983, 14.809999999999983]"
124,14.800286513930955,1.5956175875401322,"[14.789999999999983, 14.809999999999983]"
125,14.800286475422677,1.5955987352918828,"[14.789999999999983, 14.809999999999983]"
126,14.80028643714368,1.5955800694530295,"[14.789999999999983, 14.809999999999983]"
127,14.800286398419855,1.5955615872702542,"[14.789999999999983, 14.809999999999983]"
128,14.800286360323154,1.5955432860442385,"[14.789999999999983, 14.809999999999983]"
129,14.800286323985878,1.5955251631283183,"[14.789999999999983, 14.809999999999983]"
130,14.800286287260848,1.5955072159272412,"[14.789999999999983, 14.809999999999983]"
131,14.800286251792894,1.5954894418958903,"[14.789999999999983, 14.809999999999983]"
132,14.800286215735612,1.5954718385381006,"[14.789999999999983, 14.809999999999983]"
133,14.800286180704195,1.5954544034054756,"[14.789999999999983, 14.809999999999983]"
134,14.800286146689556,1.5954371340962483,"[14.789999999999983, 14.809999999999983]"
135,14.80028611280859,1.5954200282541893,"[14.789999999999983, 14.809999999999983]"
136,14.80028607971461,1.5954030835675215,"[14.789999999999983, 14.809999999999983]"
137,14.80028604637468,1.59538629776787,"[14.789999999999983, 14.809999999999983]"
138,14.800286013954086,1.5953696686292673,"[14.789999999999983, 14.809999999999983]"
139,14.800285981058959,1.5953531939671544,"[14.789999999999983, 14.809999999999983]"
140,14.800285950422042,1.59533687163742,"[14.789999999999983, 14.809999999999983]"
141,14.800285918992417,1.5953206995354607,"[14.789999999999983, 14.809999999999983]"
142,14.800285888328402,1.5953046755953075,"[14.789999999999983, 14.809999999999983]"
143,14.800285858211653,1.595288797788699,"[14.789999999999983, 14.809999999999983]"
144,14.800285828242052,1.5952730641242732,"[14.789999999999983, 14.809999999999983]"
145,14.80028579868379,1.5952574726466746,"[14.789999999999983, 14.809999999999983]"
146,14.800285768624894,1.5952420214357874,"[14.789999999999983, 14.809999999999983]"
147,14.800285740560206,1.59522670860594,"[14.789999999999983, 14.809999999999983]"
148,14.800285712071146,1.5952115323051204,"[14.789999999999983, 14.809999999999983]"
149,14.800285684024898,1.5951964907142286,"[14.789999999999983, 14.809999999999983]"
150,14.800285655932115,1.5951815820463657,"[14.789999999999983, 14.809999999999983]"
151,14.800285628721461,1.5951668045461054,"[14.789999999999983, 14.809999999999983]"
152,14.800285602778652,1.5951521564888251,"[14.789999999999983, 14.809999999999983]"
153,14.800285575804516,1.595137636179998,"[14.789999999999983, 14.809999999999983]"
154,14.800285549784265,1.5951232419545873,"[14.789999999999983, 14.809999999999983]"
155,14.800285524017667,1.5951089721763534,"[14.789999999999983, 14.809999999999983]"
156,14.800285498046291,1.5950948252372894,"[14.789999999999983, 14.809999999999983]"
157,14.800285473101503,1.5950807995569645,"[14.789999999999983, 14.809999999999983]"
158,14.800285447879935,1.5950668935819718,"[14.789999999999983, 14.809999999999983]"
159,14.800285423432504,1.5950531057853223,"[14.789999999999983, 14.809999999999983]"
160,14.800285399754033,1.5950394346659156,"[14.789999999999983, 14.809999999999983]"
161,14.800285375359453,1.5950258787479767,"[14.789999999999983, 14.809999999999983]"
162,14.800285352810397,1.5950124365805227,"[14.789999999999983, 14.809999999999983]"
163,14.800285328448032,1.594999106736852,"[14.789999999999983, 14.809999999999983]"
164,14.800285305498114,1.5949858878140264,"[14.789999999999983, 14.809999999999983]"
165,14.800285282687629,1.594972778432393,"[14.789999999999983, 14.809999999999983]"
166,14.800285260253585,1.594959777235097,"[14.789999999999983, 14.809999999999983]"
167,14.800285237375254,1.5949468828876077,"[14.789999999999983, 14.809999999999983]"
168,14.800285215981953,1.5949340940772612,"[14.789999999999983, 14.809999999999983]"
169,14.80028519383327,1.5949214095128323,"[14.789999999999983, 14.809999999999983]"
170,14.800285172042624,1.59490882792406,"[14.789999999999983, 14.809999999999983]"
171,14.800285150756752,1.5948963480612754,"[14.789999999999983, 14.809999999999983]"
172,14.800285130727413,1.594883968694936,"[14.789999999999983, 14.809999999999983]"
173,14.800285109773878,1.5948716886152554,"[14.789999999999983, 14.809999999999983]"
174,14.800285088678509,1.594859506631796,"[14.789999999999983, 14.809999999999983]"
175,14.800285068857288,1.5948474215730855,"[14.789999999999983, 14.809999999999983]"
176,14.80028504985332,1.594835432286221,"[14.789999999999983, 14.809999999999983]"
177,14.800285029909501,1.5948235376365436,"[14.789999999999983, 14.809999999999983]"
178,14.800285010745304,1.5948117365072547,"[14.789999999999983, 14.809999999999983]"
179,14.800284991873072,1.5948000277990466,"[14.789999999999983, 14.809999999999983]"
180,14.800284971384288,1.5947884104298098,"[14.789999999999983, 14.809999999999983]"
181,14.800284953418155,1.5947768833342413,"[14.789999999999983, 14.809999999999983]"
182,14.800284935400907,1.5947654454635785,"[14.789999999999983, 14.809999999999983]"
183,14.800284916421797,1.594754095785214,"[14.789999999999983, 14.809999999999983]"
184,14.800284898080285,1.5947428332824587,"[14.789999999999983, 14.809999999999983]"
185,14.800284880675783,1.5947316569541536,"[14.789999999999983, 14.809999999999983]"
186,14.800284863357813,1.5947205658144645,"[14.789999999999983, 14.809999999999983]"
187,14.80028484542808,1.594709558892505,"[14.789999999999983, 14.809999999999983]"
188,14.800284827699684,1.5946986352321275,"[14.789999999999983, 14.809999999999983]"
189,14.800284810623523,1.5946877938915738,"[14.789999999999983, 14.809999999999983]"
190,14.800284792714198,1.5946770339432736,"[14.789999999999983, 14.809999999999983]"
191,14.800284778144267,1.5946663544735349,"[14.789999999999983, 14.809999999999983]"
192,14.800284760677906,1.5946557545822786,"[14.789999999999983, 14.809999999999983]"
193,14.800284744033826,1.5946452333828354,"[14.789999999999983, 14.809999999999983]"
194,14.800284727785474,1.5946347900016307,"[14.789999999999983, 14.809999999999983]"
195,14.80028471280861,1.5946244235780176,"[14.789999999999983, 14.809999999999983]"
196,14.800284696587541,1.594614133263964,"[14.789999999999983, 14.809999999999983]"
197,14.80028468081543,1.5946039182238878,"[14.789999999999983, 14.809999999999983]"
198,14.800284665216987,1.5945937776343577,"[14.789999999999983, 14.809999999999983]"
199,14.800284650939808,1.5945837106839587,"[14.789999999999983, 14.809999999999983]"
200,14.800284634015917,1.5945737165730072,"[14.789999999999983, 14.809999999999983]"
201,14.800284619104795,1.5945637945133588,"[14.789999999999983, 14.809999999999983]"
202,14.800284604297087,1.5945539437282124,"[14.789999999999983, 14.809999999999983]"
203,14.800284590135357,1.5945441634518953,"[14.789999999999983, 14.809999999999983]"
204,14.80028457564839,1.5945344529296612,"[14.789999999999983, 14.809999999999983]"
205,14.80028456137885,1.59452481141752,"[14.789999999999983, 14.809999999999983]"
206,14.800284546991533,1.5945152381820065,"[14.789999999999983, 14.809999999999983]"
207,14.800284532696208,1.594505732500026,"[14.789999999999983, 14.809999999999983]"
208,14.800284519702135,1.5944962936586673,"[14.789999999999983, 14.809999999999983]"
209,14.800284505614604,1.5944869209550114,"[14.789999999999983, 14.809999999999983]"
210,14.800284492127421,1.5944776136959857,"[14.789999999999983, 14.809999999999983]"
211,14.800284478754236,1.5944683711981364,"[14.789999999999983, 14.809999999999983]"
212,14.800284465220585,1.594459192787524,"[14.789999999999983, 14.809999999999983]"
213,14.800284452069384,1.594450077799523,"[14.789999999999983, 14.809999999999983]"
214,14.80028443820806,1.5944410255786716,"[14.789999999999983, 14.809999999999983]"
215,14.800284425422307,1.594432035478521,"[14.789999999999983, 14.809999999999983]"
216,14.800284412589592,1.5944231068614527,"[14.789999999999983, 14.809999999999983]"
217,14.800284399950032,1.5944142390985612,"[14.789999999999983, 14.809999999999983]"
218,14.800284387532333,1.594405431569484,"[14.789999999999983, 14.809999999999983]"
219,14.800284375576974,1.5943966836622925,"[14.789999999999983, 14.809999999999983]"
220,14.800284362809986,1.5943879947732917,"[14.789999999999983, 14.809999999999983]"
221,14.800284351532174,1.5943793643069146,"[14.789999999999983, 14.809999999999983]"
222,14.800284337893185,1.5943707916756047,"[14.789999999999983, 14.809999999999983]"
223,14.800284326195117,1.5943622762996446,"[14.789999999999983, 14.809999999999983]"
2,14.771205620010083,1.5643962470653756,"[14.759999999999984, 14.779999999999983]"
1,14.77120561979015,1.5643962470653745,"[14.759999999999984, 14.779999999999983]"
0,14.00999959143651,1.0,"[14.0, 14.01]"
