time_s,global_margin_m,collision_flag,candidate_pairs,tested_pairs,circle_rejected_pairs
213.0,1.400737931839e-01,0,,1132,23399
213.5,1.409901125985e-01,0,,1127,23404
214.0,1.421685199289e-01,0,,1138,23393
214.5,1.436105342873e-01,0,,1134,23397
215.0,1.453176753372e-01,0,,1126,23405
215.5,1.472914631282e-01,0,,1135,23396
216.0,1.495334179332e-01,0,,1137,23394
216.5,1.520450600832e-01,0,,1126,23405
217.0,1.548279097882e-01,0,,1137,23394
217.5,1.578834869670e-01,0,,1144,23387
218.0,1.612133110597e-01,0,,1132,23399
218.5,1.616849672671e-01,0,,1133,23398
219.0,1.619156478212e-01,0,,1143,23388
219.5,1.617692397267e-01,0,,1142,23389
220.0,1.591776649572e-01,0,,1134,23397
220.5,1.556827502381e-01,0,,1146,23385
221.0,1.524527388141e-01,0,,1144,23387
221.5,1.494894334828e-01,0,,1134,23397
222.0,1.467946406900e-01,0,,1145,23386
222.5,1.443701703775e-01,0,,1145,23386
223.0,1.422178358355e-01,0,,1135,23396
223.5,1.403394535354e-01,0,,1138,23393
224.0,1.387368429740e-01,0,,1145,23386
224.5,1.374118265044e-01,0,,1140,23391
225.0,1.363662291633e-01,0,,1137,23394
225.5,1.356018784954e-01,0,,1145,23386
226.0,1.351206043735e-01,0,,1143,23388
226.5,1.349242388107e-01,0,,1134,23397
227.0,1.350146157690e-01,0,,1145,23386
227.5,1.353935709659e-01,0,,1146,23385
228.0,1.360629416700e-01,0,,1135,23396
228.5,1.362385336416e-01,0,,1143,23388
229.0,1.353990477027e-01,0,,1148,23383
229.5,1.348440197134e-01,0,,1142,23389
230.0,1.345753001927e-01,0,,1141,23390
230.5,1.345947416918e-01,0,,1151,23380
231.0,1.349041985941e-01,0,,1148,23383
231.5,1.355055269102e-01,0,,1140,23391
232.0,1.364005840729e-01,0,,1147,23384
232.5,1.375912287198e-01,0,,1148,23383
233.0,1.390793204742e-01,0,,1139,23392
233.5,1.408667197241e-01,0,,1146,23385
234.0,1.429552873827e-01,0,,1153,23378
234.5,1.453468846586e-01,0,,1147,23384
235.0,1.480433728102e-01,0,,1143,23388
235.5,1.510466128962e-01,0,,1157,23374
236.0,1.543584655177e-01,0,,1152,23379
236.5,1.579807905626e-01,0,,1143,23388
237.0,1.581537046543e-01,0,,1152,23379
237.5,1.582734703917e-01,0,,1153,23378
238.0,1.577560757528e-01,0,,1143,23388
238.5,1.538031223976e-01,0,,1150,23381
239.0,1.501485169071e-01,0,,1158,23373
239.5,1.467944797283e-01,0,,1146,23385
240.0,1.437432364100e-01,0,,1149,23382
240.5,1.409970173985e-01,0,,1157,23374
241.0,1.385580578086e-01,0,,1153,23378
241.5,1.364285972047e-01,0,,1145,23386
242.0,1.346108793639e-01,0,,1153,23378
242.5,1.331071520401e-01,0,,1154,23377
243.0,1.319196667135e-01,0,,1144,23387
243.5,1.310506783371e-01,0,,1152,23379
244.0,1.305024450778e-01,0,,1154,23377
244.5,1.302772280430e-01,0,,1145,23386
245.0,1.303772910049e-01,0,,1150,23381
245.5,1.308049001159e-01,0,,1155,23376
246.0,1.315623236123e-01,0,,1151,23380
246.5,1.316735604537e-01,0,,1146,23385
247.0,1.307539396334e-01,0,,1156,23375
247.5,1.301569017688e-01,0,,1154,23377
248.0,1.298847316684e-01,0,,1143,23388
248.5,1.299397168904e-01,0,,1154,23377
249.0,1.303241474519e-01,0,,1159,23372
249.5,1.310403155313e-01,0,,1148,23383
250.0,1.320905151648e-01,0,,1154,23377
250.5,1.334770419276e-01,0,,1159,23372
251.0,1.352021926136e-01,0,,1152,23379
251.5,1.372682649008e-01,0,,1150,23381
252.0,1.396775570117e-01,0,,1159,23372
252.5,1.424323673578e-01,0,,1157,23374
253.0,1.455349941799e-01,0,,1148,23383
253.5,1.489877351846e-01,0,,1160,23371
254.0,1.527928871469e-01,0,,1161,23370
254.5,1.545131314318e-01,0,,1149,23382
255.0,1.543513689477e-01,0,,1158,23373
255.5,1.539115674558e-01,0,,1163,23368
256.0,1.496118541069e-01,0,,1153,23378
256.5,1.456512762931e-01,0,,1156,23375
257.0,1.420325976860e-01,0,,1165,23366
257.5,1.387585890402e-01,0,,1164,23367
258.0,1.358320278786e-01,0,,1154,23377
258.5,1.332556981710e-01,0,,1165,23366
259.0,1.310323900048e-01,0,,1163,23368
259.5,1.291648992357e-01,0,,1154,23377
260.0,1.276560271352e-01,0,,1166,23365
260.5,1.265085800234e-01,0,,1169,23362
261.0,1.257253688902e-01,0,,1160,23371
261.5,1.253092090012e-01,0,,1161,23370
262.0,1.252629194972e-01,0,,1171,23360
262.5,1.255893229757e-01,0,,1166,23365
263.0,1.262912450620e-01,0,,1158,23373
263.5,1.272725114323e-01,0,,1167,23364
264.0,1.261055946052e-01,0,,1165,23366
264.5,1.253053290616e-01,0,,1157,23374
265.0,1.248745606957e-01,0,,1166,23365
265.5,1.248161393535e-01,0,,1173,23358
266.0,1.251329184083e-01,0,,1158,23373
266.5,1.258277543243e-01,0,,1164,23367
267.0,1.269035062049e-01,0,,1168,23363
267.5,1.283630353285e-01,0,,1167,23364
268.0,1.302092046715e-01,0,,1162,23369
268.5,1.324448784084e-01,0,,1166,23365
269.0,1.350729214098e-01,0,,1171,23360
269.5,1.380961987139e-01,0,,1162,23369
270.0,1.415175749849e-01,0,,1171,23360
270.5,1.453399139631e-01,0,,1173,23358
271.0,1.495660778828e-01,0,,1162,23369
271.5,1.505535942503e-01,0,,1166,23365
272.0,1.502440266870e-01,0,,1172,23359
272.5,1.469891247684e-01,0,,1169,23362
273.0,1.425176174234e-01,0,,1165,23366
273.5,1.384358577508e-01,0,,1170,23361
274.0,1.347473264432e-01,0,,1172,23359
274.5,1.314555139082e-01,0,,1163,23368
275.0,1.285639197863e-01,0,,1172,23359
275.5,1.260760524658e-01,0,,1172,23359
276.0,1.239954285656e-01,0,,1161,23370
276.5,1.223255724123e-01,0,,1168,23363
277.0,1.210700154865e-01,0,,1171,23360
277.5,1.202322958599e-01,0,,1166,23365
278.0,1.198159576037e-01,0,,1168,23363
278.5,1.198245501813e-01,0,,1174,23357
279.0,1.202616278182e-01,0,,1176,23355
279.5,1.211307488488e-01,0,,1164,23367
280.0,1.217469150298e-01,0,,1172,23359
280.5,1.205141740177e-01,0,,1174,23357
281.0,1.197025025252e-01,0,,1163,23368
281.5,1.193154847040e-01,0,,1170,23361
282.0,1.193567101395e-01,0,,1176,23355
282.5,1.198297732058e-01,0,,1170,23361
283.0,1.207382724007e-01,0,,1171,23360
283.5,1.220858096578e-01,0,,1176,23355
284.0,1.238759896346e-01,0,,1178,23353
284.5,1.261124189775e-01,0,,1167,23364
285.0,1.287987055584e-01,0,,1174,23357
285.5,1.319384576924e-01,0,,1175,23356
286.0,1.355352833208e-01,0,,1169,23362
286.5,1.395927891760e-01,0,,1182,23349
287.0,1.441145799169e-01,0,,1183,23348
287.5,1.460419833984e-01,0,,1176,23355
288.0,1.459812048686e-01,0,,1175,23356
288.5,1.414088493412e-01,0,,1183,23348
289.0,1.365868714808e-01,0,,1183,23348
289.5,1.322142727987e-01,0,,1175,23356
290.0,1.282954819199e-01,0,,1180,23351
290.5,1.248349412519e-01,0,,1183,23348
291.0,1.218371062615e-01,0,,1176,23355
291.5,1.193064447140e-01,0,,1183,23348
292.0,1.172474358866e-01,0,,1189,23342
292.5,1.156645697496e-01,0,,1177,23354
293.0,1.145623461119e-01,0,,1177,23354
293.5,1.139452737362e-01,0,,1187,23344
294.0,1.138178694163e-01,0,,1185,23346
294.5,1.141846570220e-01,0,,1178,23353
295.0,1.150501665044e-01,0,,1178,23353
295.5,1.164087342909e-01,0,,1185,23346
296.0,1.149023416324e-01,0,,1176,23355
296.5,1.138809224630e-01,0,,1183,23348
297.0,1.133490385883e-01,0,,1185,23346
297.5,1.133112598007e-01,0,,1177,23354
298.0,1.137721628950e-01,0,,1181,23350
298.5,1.147363306520e-01,0,,1187,23344
299.0,1.162083507789e-01,0,,1183,23348
